pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
4643157,20000000,1262,1386,1.2669,0.0472,0.0197,7.5e-05,0.42,2.19,ObR1Jpv,"ts_scale( opt4_122_call_vola_delta80, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
4388217,20000000,1288,1291,1.3243,0.0447,0.0196,6.7e-05,0.39,2.13,dEY2KQX,"ts_rank( opt4_122_call_vola_delta80, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
2554295,20000000,1328,1339,1.0976,0.026,0.0367,4.7e-05,0.21,1.35,Y28j8QM,"ts_rank( opt4_730_call_dis_delta65, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2591902,20000000,1332,1335,1.0556,0.0264,0.0362,5e-05,0.2,1.29,7a3k3J5,"ts_rank( opt4_730_call_dis_delta65, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2455647,20000000,1326,1335,1.1732,0.025,0.0236,4.3e-05,0.2,1.39,gRXYXqQ,"ts_rank( opt4_730_call_dis_delta65, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2657211,20000000,1133,1532,1.0866,0.027,0.0218,5e-05,0.19,1.23,JgoVolO,"ts_scale( opt4_730_call_dis_delta65, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2312343,20000000,1293,1297,1.3213,0.0235,0.0241,3.6e-05,0.18,1.37,3a1M1Ye,"ts_rank( opt4_730_call_dis_delta65, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2257434,20000000,1201,1444,1.2452,0.023,0.0261,3.7e-05,0.18,1.33,KXvKve8,"ts_scale( opt4_730_call_dis_delta65, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2603976,20000000,1111,1557,0.99,0.0265,0.0412,5.4e-05,0.16,0.98,Y28j8Zv,"ts_scale( opt4_730_call_dis_delta65, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1722864,20000000,1333,1329,0.9638,0.0175,0.0327,3.6e-05,0.12,0.9,V2ZvaW8,"ts_rank( opt4_91_call_dis_delta40, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2109142,20000000,1099,1569,0.935,0.0215,0.0626,4.6e-05,0.11,0.72,ObR1Rwb,"ts_scale( opt4_730_call_dis_delta65, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1617180,20000000,1290,1301,1.2175,0.0165,0.0386,2.7e-05,0.11,0.95,1aOqXMm,"ts_rank( opt4_91_call_dis_delta40, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1392707,20000000,1198,1449,1.1356,0.0142,0.0421,2.5e-05,0.09,0.84,LgEPNM2,"ts_scale( opt4_91_call_dis_delta40, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1484192,20000000,1328,1339,0.8891,0.0151,0.0598,3.4e-05,0.09,0.7,Wa3Eb5P,"ts_rank( opt4_91_call_dis_delta40, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1346687,20000000,1331,1338,0.8534,0.0137,0.0731,3.2e-05,0.07,0.59,KXvKrll,"ts_rank( opt4_91_call_dis_delta40, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
933361,20000000,1330,1330,0.1972,0.0095,0.1536,9.6e-05,0.05,0.22,wn383pY,"ts_rank( opt4_vola_547d, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
684005,20000000,1341,1325,0.1344,0.007,0.1594,0.000104,0.04,0.17,aAerekR,"ts_rank( opt4_vola_547d, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
896273,20000000,1107,1559,0.8951,0.0091,0.0519,2e-05,0.04,0.41,k1vxowO,"ts_scale( opt4_91_call_dis_delta40, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
602870,20000000,1341,1322,0.1332,0.0061,0.1443,9.2e-05,0.03,0.15,0exbGJq,"ts_scale( opt4_vola_547d, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
731052,20000000,1320,1331,0.2739,0.0074,0.1271,5.4e-05,0.03,0.18,8aVmGWv,"ts_scale( opt4_vola_547d, 21 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
494728,20000000,1356,1312,0.0884,0.005,0.1386,0.000114,0.03,0.13,MKdjgro,"ts_scale( opt4_vola_547d, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
628033,20000000,1059,1609,0.811,0.0064,0.0859,1.6e-05,0.02,0.25,boJYbmm,"ts_scale( opt4_91_call_dis_delta40, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
783986,20000000,1353,1332,0.9023,0.008,0.1829,1.8e-05,0.02,0.18,0exbrLp,"ts_rank( opt4_60_call_pre_delta80, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
791898,20000000,1203,1021,0.4367,0.0081,0.1854,3.7e-05,0.02,0.14,KXvKgE8,"ts_scale( opt6_irate5wk, 126 )",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
559713,20000000,1365,1322,0.8214,0.0057,0.2443,1.4e-05,0.01,0.11,gRXYZnl,"ts_rank( opt4_60_call_pre_delta80, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
532417,20000000,1176,1498,0.9648,0.0054,0.1289,1.1e-05,0.01,0.18,8aVmRvv,"ts_scale( opt4_60_put_vola_delta80, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
489433,20000000,1316,1330,0.3711,0.005,0.1374,2.7e-05,0.01,0.12,JgoVojn,"ts_rank( opt4_vola_547d, 21 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
377079,20000000,1236,1448,0.8299,0.0038,0.2152,9e-06,0.01,0.08,0exbrxG,"ts_scale( opt4_60_call_pre_delta80, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
407624,20000000,1240,1440,0.9758,0.0041,0.1261,9e-06,0.01,0.12,PwxJgxM,"ts_scale( opt4_60_call_pre_delta80, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
360270,20000000,1319,1353,1.0453,0.0037,0.1296,7e-06,0.01,0.13,wn38Qo1,"ts_rank( opt4_60_put_vola_delta80, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-263425,20000000,1301,1297,1.2777,-0.0027,0.1235,-4e-06,-0.0,-0.1,9a8zW3o,"ts_rank( opt4_60_call_pre_delta80, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
200027,20000000,1155,980,0.5102,0.002,0.2619,8e-06,0.0,0.04,V2ZvNlJ,"ts_scale( opt6_irate5wk, 63 )",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
103157,20000000,1281,1322,0.6957,0.001,0.114,3e-06,0.0,0.03,rJ910aj,"ts_scale( opt4_vola_547d, 5 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
74725,20000000,1039,1630,0.7699,0.0008,0.1114,2e-06,0.0,0.03,o3R1Ld5,"ts_scale( opt4_91_call_dis_delta40, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
130536,20000000,1316,1358,0.9946,0.0013,0.1382,3e-06,0.0,0.04,KXvKJQE,"ts_rank( opt4_60_put_vola_delta80, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-203500,20000000,1166,1509,0.9115,-0.0021,0.162,-5e-06,-0.0,-0.06,5arZEj5,"ts_scale( opt4_60_put_vola_delta80, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
164424,20000000,1266,1390,1.2158,0.0017,0.1112,3e-06,0.0,0.06,EgNZRlK,"ts_scale( opt4_60_call_pre_delta80, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
324789,20000000,1235,1451,0.7493,0.0033,0.2481,9e-06,0.0,0.06,X2VjJVx,"ts_scale( opt4_60_call_pre_delta80, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
69998,20000000,869,999,1.0557,0.0007,0.2016,1e-06,0.0,0.01,edNlaxO,"ts_rank( opt6_irate5wk, 5 )",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
12353,20000000,1321,1258,0.5705,0.0001,0.1922,0.0,0.0,0.0,gRXYa8K,"ts_rank( opt6_irate5wk, 126 )",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
307020,20000000,1345,1334,1.0407,0.0031,0.1254,6e-06,0.0,0.09,gRXYZ5m,"ts_rank( opt4_60_call_pre_delta80, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-326039,20000000,1336,1325,1.1839,-0.0033,0.1426,-6e-06,-0.01,-0.17,EgNZV8m,"ts_rank( opt4_122_put_dis_delta75, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-470298,20000000,1193,1479,1.0692,-0.0048,0.17,-9e-06,-0.01,-0.2,Q2O1vYG,"ts_scale( opt4_60_put_vola_delta80, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-340592,20000000,1266,1296,0.823,-0.0035,0.1329,-8e-06,-0.01,-0.1,lQELgmx,"ts_rank( opt4_vola_547d, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-323605,20000000,1338,1328,1.1112,-0.0033,0.15,-6e-06,-0.01,-0.15,ObR1JMg,"ts_rank( opt4_122_put_dis_delta75, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-610841,20000000,1342,1326,1.0707,-0.0062,0.1669,-1.2e-05,-0.02,-0.27,nZm1AL8,"ts_rank( opt4_122_put_dis_delta75, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-603741,20000000,1178,1469,1.2677,-0.0061,0.1524,-1e-05,-0.02,-0.36,LgEP5Ke,"ts_scale( opt4_122_put_dis_delta75, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-537507,20000000,1294,1290,1.3188,-0.0055,0.1382,-8e-06,-0.02,-0.26,5arZEJn,"ts_rank( opt4_60_put_vola_delta80, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1602864,20000000,506,519,1.0265,-0.0163,0.3647,-3.2e-05,-0.02,-0.15,LgEPK6v,"ts_scale( opt6_irate5wk, 5 )",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-904522,20000000,1328,1337,1.14,-0.0092,0.1694,-1.6e-05,-0.03,-0.38,lQELAax,"ts_rank( opt4_60_put_vola_delta80, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-691466,20000000,1240,1414,1.2589,-0.007,0.1608,-1.1e-05,-0.03,-0.34,xPVKrkb,"ts_scale( opt4_60_put_vola_delta80, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-672028,20000000,1298,1290,1.337,-0.0068,0.1434,-1e-05,-0.03,-0.4,zPgvr28,"ts_rank( opt4_122_put_dis_delta75, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1222425,20000000,1189,1145,0.7369,-0.0124,0.2405,-3.4e-05,-0.04,-0.28,X2Vja8b,"ts_rank( opt6_irate5wk, 21 )",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1129506,20000000,1223,1460,0.5318,-0.0115,0.2103,-4.3e-05,-0.04,-0.28,xPVKbmn,"ts_scale( opt4_60_put_pre_delta30, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1900657,20000000,1000,843,0.651,-0.0193,0.3006,-5.9e-05,-0.05,-0.29,3a1M06Z,"ts_scale( opt6_irate5wk, 21 )",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-803198,20000000,1369,1386,0.7652,-0.0159,0.1929,-4.1e-05,-0.05,-0.33,j9o5oj9,"ts_rank( opt6_kw1gnhcxpkts, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1400208,20000000,1211,1475,0.4544,-0.0142,0.213,-6.3e-05,-0.05,-0.3,mrdP6b1,"ts_scale( opt4_60_put_pre_delta30, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1465092,20000000,1310,1218,0.635,-0.0149,0.245,-4.7e-05,-0.05,-0.32,8aVmNp7,"ts_rank( opt6_irate5wk, 63 )",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-992299,20000000,1097,1568,1.1361,-0.0101,0.1912,-1.8e-05,-0.05,-0.48,xPVK1lN,"ts_scale( opt4_122_put_dis_delta75, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1247106,20000000,1060,1607,1.0674,-0.0127,0.2164,-2.4e-05,-0.06,-0.52,Q2O1YWK,"ts_scale( opt4_122_put_dis_delta75, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1569013,20000000,1193,1491,0.75,-0.016,0.1886,-4.3e-05,-0.06,-0.42,qPOK5Mj,"ts_scale( opt4_60_put_pre_delta70, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1576768,20000000,1339,1346,0.6371,-0.016,0.2419,-5e-05,-0.06,-0.39,LgEPZ7e,"ts_rank( opt4_60_put_pre_delta30, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1789811,20000000,1186,1500,0.6635,-0.0182,0.2012,-5.5e-05,-0.07,-0.41,xPVKlAW,"ts_scale( opt4_60_put_pre_delta70, 126 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1882837,20000000,1284,1399,0.3978,-0.0192,0.3134,-9.6e-05,-0.07,-0.34,1aOqZ6M,"ts_scale( opt4_365_call_pre_delta30, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1882067,20000000,1344,1341,0.8797,-0.0192,0.2449,-4.4e-05,-0.08,-0.53,V2ZvMwV,"ts_rank( opt4_60_put_pre_delta70, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2078869,20000000,1375,1305,0.4577,-0.0212,0.3349,-9.2e-05,-0.08,-0.35,wn38Ql6,"ts_rank( opt4_730_call_pre_delta50, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2066627,20000000,1375,1309,0.4649,-0.021,0.3193,-9e-05,-0.08,-0.37,aAerx2x,"ts_rank( opt4_365_call_pre_delta30, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1024623,20000000,1359,1395,0.6567,-0.0202,0.215,-6.2e-05,-0.08,-0.44,1aOqOzz,"ts_scale( opt6_kw1gnhcxpkts, 21 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1109436,20000000,1296,1313,1.0009,-0.0219,0.1698,-4.4e-05,-0.08,-0.51,k1vxvjk,"ts_rank( opt6_kw1gnhcxpkts, 5 )",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2213139,20000000,1359,1323,0.5605,-0.0225,0.2914,-8e-05,-0.09,-0.46,boJYO2R,"ts_rank( opt4_365_call_pre_delta30, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1241564,20000000,1310,1338,0.9512,-0.0245,0.1856,-5.2e-05,-0.09,-0.56,xPVKVng,"ts_scale( opt6_kw1gnhcxpkts, 5 )",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1366590,20000000,1377,1389,0.7271,-0.027,0.2432,-7.4e-05,-0.09,-0.48,7a3k3j1,"ts_rank( opt6_kw1gnhcxpkts, 63 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2351830,20000000,1360,1319,0.5597,-0.0239,0.3158,-8.6e-05,-0.1,-0.46,Y28j106,"ts_rank( opt4_730_call_pre_delta50, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2024755,20000000,1251,1427,0.7007,-0.0206,0.2674,-5.9e-05,-0.1,-0.61,9a8zWAo,"ts_scale( opt4_60_put_pre_delta30, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2342668,20000000,1324,1355,0.391,-0.0238,0.3629,-0.000122,-0.1,-0.39,6aZndq7,"ts_scale( opt4_730_call_pre_delta50, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2421424,20000000,1357,1330,0.8026,-0.0246,0.2925,-6.1e-05,-0.11,-0.6,Wa3EYwk,"ts_rank( opt4_60_put_pre_delta70, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1552420,20000000,1382,1387,0.7192,-0.0307,0.2432,-8.5e-05,-0.11,-0.54,2a9195P,"ts_rank( opt6_kw1gnhcxpkts, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2003924,20000000,1039,1629,1.0319,-0.0204,0.2634,-4e-05,-0.11,-0.76,Z2gRmXQ,"ts_scale( opt4_122_put_dis_delta75, 126 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2376909,20000000,1352,1335,0.5572,-0.0242,0.3206,-8.7e-05,-0.11,-0.51,AgeRvlg,"ts_rank( opt4_60_put_pre_delta30, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2461177,20000000,1285,1396,0.4846,-0.025,0.3211,-0.000103,-0.12,-0.51,LgEPZO2,"ts_scale( opt4_365_call_pre_delta30, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2416175,20000000,1208,1471,0.9133,-0.0246,0.2706,-5.4e-05,-0.13,-0.82,xPVKvLw,"ts_scale( opt4_60_put_pre_delta70, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2795956,20000000,1323,1354,0.4852,-0.0284,0.3645,-0.000117,-0.13,-0.53,xPVKrzW,"ts_scale( opt4_730_call_pre_delta50, 63 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2556349,20000000,1344,1334,0.7944,-0.026,0.3079,-6.5e-05,-0.14,-0.75,ObR18x1,"ts_rank( opt4_60_put_pre_delta30, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2981796,20000000,1346,1329,0.763,-0.0303,0.335,-8e-05,-0.15,-0.75,wn38bwl,"ts_rank( opt4_365_call_pre_delta30, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2628673,20000000,1306,1297,1.1328,-0.0267,0.2817,-4.7e-05,-0.15,-0.95,dEY210J,"ts_rank( opt4_60_put_pre_delta30, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2482395,20000000,1250,1405,1.1941,-0.0253,0.2653,-4.2e-05,-0.15,-1.06,o3R1ab5,"ts_scale( opt4_60_put_pre_delta70, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2507328,20000000,1302,1296,1.2677,-0.0255,0.2678,-4e-05,-0.15,-1.05,6aZnGm7,"ts_rank( opt4_60_put_pre_delta70, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2917840,20000000,1292,1383,0.6818,-0.0297,0.335,-8.7e-05,-0.16,-0.75,k1vxgEL,"ts_scale( opt4_365_call_pre_delta30, 21 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2663251,20000000,1291,1361,1.0511,-0.0271,0.2882,-5.2e-05,-0.16,-1.0,EgNZRr1,"ts_scale( opt4_60_put_pre_delta30, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3431104,20000000,1346,1325,0.7746,-0.0349,0.3811,-9e-05,-0.17,-0.81,wn38Qz5,"ts_rank( opt4_730_call_pre_delta50, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2968180,20000000,1345,1334,1.0183,-0.0302,0.3201,-5.9e-05,-0.17,-1.0,Q2O1Wmw,"ts_rank( opt4_60_put_pre_delta70, 21 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3169209,20000000,1409,1275,0.3037,-0.0322,0.3698,-0.000212,-0.18,-0.56,1aOqjLJ,"ts_rank( opt4_730_call_strike_delta50, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3596658,20000000,1323,1349,0.6981,-0.0366,0.3979,-0.000105,-0.19,-0.85,X2Vj9ll,"ts_scale( opt4_730_call_pre_delta50, 21 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3421569,20000000,1416,1251,0.2248,-0.0348,0.4299,-0.00031,-0.19,-0.48,dEY29jx,"ts_rank( opt4_call_strikeprice_30d, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3602523,20000000,1401,1241,0.2325,-0.0367,0.4481,-0.000315,-0.2,-0.51,X2Vj9m0,"ts_rank( opt4_call_forwardprice_152d, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3550692,20000000,1305,1345,1.0442,-0.0361,0.3869,-6.9e-05,-0.21,-1.11,JgoVQMl,"ts_scale( opt4_365_call_pre_delta30, 5 )",PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3461410,20000000,1371,1312,0.2393,-0.0352,0.415,-0.000294,-0.22,-0.58,KXvKr11,"ts_scale( opt4_730_call_strike_delta50, 126 )",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
